Publication Year,Author,Title,ISSN,DOI,"About, in title (W=women, M=men, W&M = women & men, X=not mentioned)","theme (phys ed (or just ed) and recreation, PE; sports; research study, RS; research study (methods), RS (M); other, OTH)","RACE MENT, FATIGUE",NOTES,"Author sex (M, W or F, x = unknown b/c only 1st initial"
1934,A. H. Hegnauer,Lactic Acid Metabolism of Muscles Made Non-Irritable by Sugar Solutions,0002-9513,10.1152/ajplegacy.1934.107.3.667,,,,,
1934,Cordelia Ogle,Adaptation of Sexual Activity to Environmental Stimulation,0002-9513,10.1152/ajplegacy.1934.107.3.628,,,,,
1934,Charles D. Snyder,The Heat Liberated by the Beating Heart,0002-9513,10.1152/ajplegacy.1934.107.3.551,,,,,
1934,David Marine; S. Rosen,The Effect of the Thyrotropic Hormone on Auto- And Homeotransplants of the Thyroid and Its Bearing on the Question of Secretory Nerves,0002-9513,10.1152/ajplegacy.1934.107.3.677,,,,,
1934,R Margaria; H. T. Edwards,The Removal of Lactic Acid From the Body During Recovery From Muscular Exercise,0002-9513,10.1152/ajplegacy.1934.107.3.681,,,,,
1934,N. R. Cooperman; F. J. Mullin; Nathaniel Kleitman,Studies on the Physiology of Sleep,0002-9513,10.1152/ajplegacy.1934.107.3.589,,,,,
1934,Albert S. Gordon; Max Dubin,"On the Alleged Presence of ""Hemopoietine"" in the Blood Serum of Rabbits Either Rendered Anemic or Subjected to Low Pressures",0002-9513,10.1152/ajplegacy.1934.107.3.704,,,,,
1934,Evelyn C. Van Donk; Hal S. Feldman; H. Steenbock,An Analysis of the Anemia of Pregnancy in the Rat,0002-9513,10.1152/ajplegacy.1934.107.3.616,,,,,
1934,Edwin P. Laug,"OBSERVATIONS ON LACTIC ACID, TOTAL CO2, AND pH OF VENOUS BLOOD DURING RECOVERY FROM SEVERE EXERCISE",0002-9513,10.1152/ajplegacy.1934.107.3.687,,,,,
1934,Hans Selye,On the Nervous Control of Lactation,0002-9513,10.1152/ajplegacy.1934.107.3.535,,,,,
1934,H. C. Stevens; R. P. Metcalf,The Decrement in Muscular Force With Increasing Speed of Shortening,0002-9513,10.1152/ajplegacy.1934.107.3.568,,,,,
1934,E. F. Adolph; M. J. Gerbasi; MichaelJ. Lepore,Redistributions of Water Following Transfusions and Infusions,0002-9513,10.1152/ajplegacy.1934.107.3.647,,,,,
1934,Kenneth B. Castleton,An Experimental Study of the Movements of the Small Intestine,0002-9513,10.1152/ajplegacy.1934.107.3.641,,,,,
1934,Josephine Ball,Demonstration of a Quantitative Relation Between Stimulus and Response in Pseudopregnancy in the Rat,0002-9513,10.1152/ajplegacy.1934.107.3.698,,,,,
1934,Julius C. Abels,On the Lysin Present in Normal Urine,0002-9513,10.1152/ajplegacy.1934.107.3.603,,,,,
1934,Ruby Hirose,The Second Phase of Thrombin Action: Fibrin Resolution,0002-9513,10.1152/ajplegacy.1934.107.3.693,,,,,
1934,Cordelia Ogle,Climatic Influence on the Growth of the Male Albino Mouse,0002-9513,10.1152/ajplegacy.1934.107.3.635,,,,,
1934,Lester R. Dragstedt; Robert A. Woodbury,The Relation of Bile to the Secretion of Pancreatic Juice,0002-9513,10.1152/ajplegacy.1934.107.3.584,,,,,
1934,Chandler McC. Brooks,The Resistance of Surviving Spinal Animals to Hypoglycemia Induced by Insulin,0002-9513,10.1152/ajplegacy.1934.107.3.577,,,,,
1934,Christian Hampel,The Effect of Initial Tension and Load on the Response of the Nictitating Membrane of the Cat,0002-9513,10.1152/ajplegacy.1934.107.3.717,,,,,
1934,Carl Voegtlin; R. Holly Fitch; H. Kahler; J. M. Johnson,The Hydrogen-Ion Concentration of Mammalian Voluntary Muscle Under Various Conditions,0002-9513,10.1152/ajplegacy.1934.107.3.539,,,,,
1934,Alvan L. Barach,The Action of Oxygen in Counteracting Alcoholic Intoxication,0002-9513,10.1152/ajplegacy.1934.107.3.610,,,,,
1934,Norman E. Freeman; Reginald H. Smithwick; James C. White,Adrenal Secretion in Man,0002-9513,10.1152/ajplegacy.1934.107.3.529,,,,,
1934,Harry L. Katz; L. B. Nice,Changes in the Chemical Elements of the Blood of Rabbits During Emotional Excitement,0002-9513,10.1152/ajplegacy.1934.107.3.709,,,,,
1934,Lester R. Dragstedt,The Effect of Diverting the Adrenal Vein Blood Into the Portal Vein on the Blood Sugar of Dogs,0002-9513,10.1152/ajplegacy.1934.108.1.42,,,,,
1934,E. F. Adolph,Asphyxia of the Frog's Kidneys,0002-9513,10.1152/ajplegacy.1934.108.1.177,,,,,
1934,Samuel L. Leonard; Philip E. Smith,The Hypophyseal-Like Qualities of the Gonadotropic Principle Found in the Urine of Certain Individuals,0002-9513,10.1152/ajplegacy.1934.108.1.22,,,,,
1934,Orville S. Walters,"The Erythrocyte Count, Quantity of Hemoglobin and Volume of Packed Cells in Normal Human Subjects During Muscular Inactivity",0002-9513,10.1152/ajplegacy.1934.108.1.118,,,,,
1934,Elizabeth E. Painter; O. G. Harne,Analysis of Contraction Types of the Excised Uterus of the Rat,0002-9513,10.1152/ajplegacy.1934.108.1.33,,,,,
1934,Robert C. Ranquist,The Effect of the Vagus Nerves on Sugar Tolerance in Dogs,0002-9513,10.1152/ajplegacy.1934.108.1.210,,,,,
1934,Erlene J. Andes; Howard H. Beard,The Effect of Inorganic Iron With and Without Ultraviolet Irradiation Upon the Prevention and Cure of Nutritional Anemia,0002-9513,10.1152/ajplegacy.1934.108.1.91,,,,,
1934,Francis O. Schmitt; Royce K. Skow; Elmer D. Bueker,The Effect of Arsenite on Medullated Nerve,0002-9513,10.1152/ajplegacy.1934.108.1.14,,,,,
1934,Z. M. Bacq; A. Rosenblueth,"The Action of Calcium and Potassium Ions on the Nictitating Membrane, the Adrenal Medulla and the Non-Pregnant Uterus of the Cat",0002-9513,10.1152/ajplegacy.1934.108.1.46,,,,,
1934,Janet McK. Rioch,The Neural Mechanism of Mastication,0002-9513,10.1152/ajplegacy.1934.108.1.168,,,,,
1934,James M. Orten; Arthur H. Smith,The Proportion of Reticulocytes in the Blood of Albino Rats,0002-9513,10.1152/ajplegacy.1934.108.1.66,,,,,
1934,H. L. Keil; H. H. Keil; V. E. Nelson,"The Effect of Addition of Minerals and Sucrose to Milk as Shown by Growth, Fertility and Lactation of the Rat",0002-9513,10.1152/ajplegacy.1934.108.1.215,,,,,
1934,Roy Hertz; Frederick L. Hisaw,Effects of Follicle-Stimulating and Luteinizing Pituitary Extracts on the Ovaries of the Infantile and Juvenile Rabbit,0002-9513,10.1152/ajplegacy.1934.108.1.1,,,,,
1934,George L. Clark; J. N. Mrgudich,An X-Ray Diffraction Study of the Effect of Rachitis Upon the Structural Characteristics of Bone,0002-9513,10.1152/ajplegacy.1934.108.1.74,,,,,
1934,W. W. Swingle; J. J. Pfiffner; Harry M. Vars; W. M. Parkins,The Effect of Sodium Chloride Administration Upon Adrenalectomized Dogs Not Receiving Extract,0002-9513,10.1152/ajplegacy.1934.108.1.159,,,,,
1934,Curt P. Richter; Carl G. Hartman,The Effect of Injection of Amniotin on the Spontaneous Activity of Gonadectomized Rats,0002-9513,10.1152/ajplegacy.1934.108.1.136,,,,,
1934,Harold N. Ets; T. E. Boyd,"The Effects of Potassium, Cocaine, Urethane, and Alcohol on the Cold Block in Nerve",0002-9513,10.1152/ajplegacy.1934.108.1.129,,,,,
1934,Edward Muntwyler; Dorothy Binns,The Effect of Cyanide and Other Substances on the Oxygen Uptake of Rat Tissue,0002-9513,10.1152/ajplegacy.1934.108.1.80,,,,,
1934,Carl F. Schmidt; John C. Pierson,The Intrinsic Regulation of the Blood Vessels of the Medulla Oblongata,0002-9513,10.1152/ajplegacy.1934.108.1.241,,,,,
1934,Norman M. Keith; Marschelle H. Power; Ruth D. Peterson,"The Renal Excretion of Sucrose, Xylose, Urea and Inorganic Sulphates in Normal Man: Comparison of Simultaneous Clearances",0002-9513,10.1152/ajplegacy.1934.108.1.221,,,,,
1934,W. W. Swingle; J. J. Pfiffner; Harry M. Vars; W. M. Parkins,The Effect of Fluid Deprivation and Fluid Intake Upon the Revival of Dogs From Adrenal Insufficiency,0002-9513,10.1152/ajplegacy.1934.108.1.144,,,,,
1934,Eric Ponder; Max Dubin; Albert S. Gordon,An Indirect Method for Making Red Cell Counts,0002-9513,10.1152/ajplegacy.1934.108.1.125,,,,,
1934,James P. Quigley; W. H. Highstone; A. C. Ivy,A Study of the Propulsive Activity of a Thiry-Vella Loop of Intestine,0002-9513,10.1152/ajplegacy.1934.108.1.151,,,,,
1934,David L. Drabkin; Thomas Fitz-Hugh,A Comparison of the Normal Blood Picture of Rats of Two Different Colonies Reared Upon Different Stock Rations,0002-9513,10.1152/ajplegacy.1934.108.1.61,,,,,
1934,Lowrey F. Davenport; Marshall N. Fulton; Howard A. Van Auken; Richard E. Parsons,The Creatinine Clearance as a Measure of Glomerular Filtration in Dogs With Particular Reference to the Effect of Diuretic Drugs,0002-9513,10.1152/ajplegacy.1934.108.1.99,,,,,
1934,Arthur P. Grollman; Warfield M. Firor; Ellis Grollman,The Extraction of the Adrenal Cortical Hormone From the Interrenal Body of Fishes,0002-9513,10.1152/ajplegacy.1934.108.1.237,,,,,
1934,Charles Huggins; H.E. Haymond; H. Relton McCarroll,Urethral Clonus,0002-9513,10.1152/ajplegacy.1934.108.1.192,,,,,
1934,Samuel Soskin; Walther S. Priest; William J. Schutz,The Influence of Epinephrin Upon the Exchange of Sugar Between Blood and Muscle,0002-9513,10.1152/ajplegacy.1934.108.1.107,,,,,
1934,Chalmers L. Gemmill,The Effect of Exercise on the Acetone Bodies in the Blood of Man on Low Carbohydrate Diet,0002-9513,10.1152/ajplegacy.1934.108.1.55,,,,,
1934,Janet McK. Rioch; E. F. Lambert,The Jaw-Jerk and Its Afferent Path,0002-9513,10.1152/ajplegacy.1934.108.1.50,,,,,
1934,H. T. Edwards; R Margaria; D. B. Dill,"Metabolic Rate, Blood Sugar and the Utilization of Carbohydrate",0002-9513,10.1152/ajplegacy.1934.108.1.203,,,,,
1934,Charles M. Wilhelmj; Leo C. Henrich; Irwin Neigus; Frederick C. Hill,The Chloride Concentration of Gastric Secretion From Fundic Pouches and From the Intact Whole Stomach,0002-9513,10.1152/ajplegacy.1934.108.1.197,,,,,
1934,Joseph Victor,Metabolic and Irritability Changes in Nutritional Myopathy of Rabbits and Ducks,0002-9513,10.1152/ajplegacy.1934.108.1.229,,,,,
1934,Henry Sewall,Induced Ocular Luminescence as a Probable Source of Entoptic Vision,0002-9513,10.1152/ajplegacy.1934.108.2.409,,,,,
1934,Anthony Welch,Observations on Epinephrine Oxidation and Stabilization,0002-9513,10.1152/ajplegacy.1934.108.2.360,,,,,
1934,Samuel L. Leonard,A Study of the Pituitary Factor Increasing the Ovarian Weights of Immature Rats When Injected in Combination With Pregnancy Urine,0002-9513,10.1152/ajplegacy.1934.108.2.331,,,,,
1934,A. M. Wedd,"The Influence of Rate and Temperature Change and of Various Cardiac Drugs on Rhythmicity, Contractility, and the Refractory Period of the Turtle Heart",0002-9513,10.1152/ajplegacy.1934.108.2.265,,,,,
1934,Caroline Tum Suden,"Reactions of the Rat Uterus, Excised and in Situ, to Histamine and in Anaphylaxis",0002-9513,10.1152/ajplegacy.1934.108.2.416,,,,,
1934,Paul D. Crimm; Darwin M. Short,Age Variations in the Polymorphonuclear Leucocyte of the Rat,0002-9513,10.1152/ajplegacy.1934.108.2.324,,,,,
1934,Eleanor D. Mason; Francis G. Benedict,"The Effect of Sleep on Human Basal Metabolism, With Particular Reference to South Indian Women",0002-9513,10.1152/ajplegacy.1934.108.2.377,,,,,
1934,S. Howard Bartley,Relation of Intensity and Duration of Brief Retinal Stimulation by Light to the Electrical Response of the Optic Cortex of the Rabbit,0002-9513,10.1152/ajplegacy.1934.108.2.397,,,,,
1934,Isidore Gersh,The Tubular Elimination of Phenol Red in the Rabbit Kidney,0002-9513,10.1152/ajplegacy.1934.108.2.355,,,,,
1934,F. S. Robscheit-Robbins; G. H. Whipple,Hemoglobin Production Factors in Normal Livers of Domestic Animals,0002-9513,10.1152/ajplegacy.1934.108.2.279,,,,,
1934,A. Rosenblueth; W. B. Cannon,Direct Electrical Stimulation of Denervated Autonomic Effectors,0002-9513,10.1152/ajplegacy.1934.108.2.384,,,,,
1934,W. W. Swingle; J. J. Pfiffner; Harry M. Vars; W. M. Parkins,"The Relation Between Blood Pressure, Blood Urea Nitrogen and Fluid Balance of the Adrenalectomized Dog",0002-9513,10.1152/ajplegacy.1934.108.2.428,,,,,
1934,H. L. White; Warren R. Rainey; Betty Monaghan; Andrew Harris,Observations on the Nervous Control of the Ileocaecal Sphincter and on Intestinal Movements in an Unanesthetized Human Subject,0002-9513,10.1152/ajplegacy.1934.108.2.449,,,,,
1934,G. H. Whipple; F. S. Robscheit-Robbins,Hemoglobin Production Factors in the Anemic Horse Liver,0002-9513,10.1152/ajplegacy.1934.108.2.270,,,,,
1934,O. A. Mortensen; Lewis H. Weed,Absorption of Isotonic Fluids From the Subarachnoid Space,0002-9513,10.1152/ajplegacy.1934.108.2.458,,,,,
1934,Ernst Gellhorn; D. Northup,The Relation Between Circulatory Rate and Absorption in the Gut,0002-9513,10.1152/ajplegacy.1934.108.2.469,,,,,
1934,M. W. Montgomery; John Moore; Joseph S. McGuinness,Reactive Hyperemia: Relation of Duration of Increased Blood Flow to Length of Circulatory Arrest,0002-9513,10.1152/ajplegacy.1934.108.2.486,,,,,
1934,Francis G. Benedict; Edward L. Fox,Protein and Energy Metabolism of Wild and Albino Rats During Prolonged Fasting,0002-9513,10.1152/ajplegacy.1934.108.2.285,,,,,
1934,R Margaria; H. T. Edwards,The Sources of Energy in Muscular Work Performed in Anaerobic Conditions,0002-9513,10.1152/ajplegacy.1934.108.2.341,,,,,
1934,Daniel J. Collins,Ascites and Other Effects of Large Saline Injections,0002-9513,10.1152/ajplegacy.1934.108.2.476,,,,,
1934,L. B. Nice; Harry L. Katz,Blood Volume and Hematocrit Determinations in Rabbits Before and During Emotional Excitement,0002-9513,10.1152/ajplegacy.1934.108.2.349,,,,,
1934,E. V. Enzmann,The Changes in Hemoglobin Concentration of Blood of Growing Rats,0002-9513,10.1152/ajplegacy.1934.108.2.373,,,,,
1934,James Rollin Slonaker,Superfetation in the Albino Rat,0002-9513,10.1152/ajplegacy.1934.108.2.322,,,,,
1934,C. F. Fluhmann,The Influence of the Thyroid on the Action of Gonad-Stimulating Hormones,0002-9513,10.1152/ajplegacy.1934.108.2.498,,,,,
1934,Robert L. Kroc,The Relation of Bilateral Suprarenalectomy and Subsequent Extract Therapy on the Body Weight and Oestrual Cycle of the Albino Rat,0002-9513,10.1152/ajplegacy.1934.108.2.438,,,,,
1934,Joseph Hughes; Herbert S. Gasser,The Response of the Spinal Cord to Two Afferent Volleys,0002-9513,10.1152/ajplegacy.1934.108.2.307,,,,,
1934,Joseph Hughes; Herbert S. Gasser,Some Properties of the Cord Potentials Evoked by a Single Afferent Volley,0002-9513,10.1152/ajplegacy.1934.108.2.295,,,,,
1934,Leland C. Wyman; Caroline Tum Suden,The Effect of Histamine on the Blood Sugar in Suprarenalectomized Rats,0002-9513,10.1152/ajplegacy.1934.108.2.424,,,,,
1934,J. Earl Thomas; J. O. Crider; C. J. Mogan,A Study of Reflexes Involving the Pyloric Sphincter and Antrum and Their Rôle in Gastric Evacuation,0002-9513,10.1152/ajplegacy.1934.108.3.683,,,,,
1934,Glenn A. Fry,Depression of the Activity Aroused by a Flash of Light by Applying a Second Flash Immediately Afterwards to Adjacent Areas of the Retina,0002-9513,10.1152/ajplegacy.1934.108.3.701,,,,,
1934,William Kleinberg,The Hemopoietic Effect of Cobalt and Cobalt-Manganese Compounds in Rabbits,0002-9513,10.1152/ajplegacy.1934.108.3.545,,,,,
1934,L. H. Schmidt,The Effect of Thyroxine Ingestion on the Toxicity of Certain Bile Salts,0002-9513,10.1152/ajplegacy.1934.108.3.613,,,,,
1934,Gustaf E. Lindskog; Heather Bradshaw,Collateral Respiration,0002-9513,10.1152/ajplegacy.1934.108.3.581,,,,,
1934,Edmund Jacobson,Electrical Measurements Concerning Muscular Contraction (Tonus) and the Cultivation of Relaxation in Man—relaxation-Times of Individuals,0002-9513,10.1152/ajplegacy.1934.108.3.573,,,,,
1934,Winfield L. Butsch,Glucose Tolerance and the Glycogen Storage Capacity of the Dog,0002-9513,10.1152/ajplegacy.1934.108.3.639,,,,,
1934,Earl T. Engle,The Effect of Intravenous Administration of the Pregnancy Urine Factor on the Ovaries of Rhesus Monkeys,0002-9513,10.1152/ajplegacy.1934.108.3.528,,,,,
1934,Cecil K. Drinker; Madeleine E. Field; John Homans,The Experimental Production of Edema and Elephantiasis as a Result of Lymphatic Obstruction,0002-9513,10.1152/ajplegacy.1934.108.3.509,,,,,
1934,Jacob Sacks; Wilma C. Sacks,The Rôle of Phosphocreatine in the Fundamental Chemical Changes in Contracting Mammalian Muscle,0002-9513,10.1152/ajplegacy.1934.108.3.521,,,,,
1934,Abel R. Miller,A Failure to Confirm Pavlov's Hypothesis of External Inhibition,0002-9513,10.1152/ajplegacy.1934.108.3.608,,,,,
1934,Lester W. Sontag; Paul L. Munson,The Effect on the Weight of the Offspring of Administration of Antuitrin G to the Pregnant Rat,0002-9513,10.1152/ajplegacy.1934.108.3.593,,,,,
1934,H. W. Neild; A. F. Serritella,"Water Absorption and Elimination of Frogs During Ether, Nitrous Oxide, Chloroform, and Ethylene Anesthesia",0002-9513,10.1152/ajplegacy.1934.108.3.550,,,,,
1934,Oscar Riddle; Pela Fay Braucher,Hemoglobin and Erythrocyte Differences According to Sex and Season in Doves and Pigeons,0002-9513,10.1152/ajplegacy.1934.108.3.554,,,,,
1934,A. Rosenbleuth; W. B. Cannon,A Further Study of Vasodilators in Sympathectomized Animals,0002-9513,10.1152/ajplegacy.1934.108.3.599,,,,,
1934,M. R. V. Sahyun; Simmonds R C; Holbrook Working,The Effect of Diet on the Distribution of Glycogen in the Skeletal Muscle of the Rat,0002-9513,10.1152/ajplegacy.1934.108.3.708,,,,,
1934,Alfred G. Gilman,Experimental Sodium Loss Analogous to Adrenal Insufficiency: The Resulting Water Shift and Sensitivity to Hemorrhage,0002-9513,10.1152/ajplegacy.1934.108.3.662,,,,,
1934,Louis A. Shaw; Albert R. Behnke; Anne Messer,The Rôle of Carbon Dioxide in Producing the Symptoms of Oxygen Poisoning,0002-9513,10.1152/ajplegacy.1934.108.3.652,,,,,
1934,T. Goodwin; George M. Higgins,Diurnal Changes in the Liver During Pregnancy,0002-9513,10.1152/ajplegacy.1934.108.3.567,,,,,
1934,J. F. Herrick; Hiram E. Essex; Frank C. Mann; Edward J. Baldes,The Effect of Digestion on the Blood Flow in Certain Blood Vessels of the Dog,0002-9513,10.1152/ajplegacy.1934.108.3.621,,,,,
1934,H. Silvette,"Chloride, Carbohydrate and Water Metabolism in Adrenal Insufficiency and Other Conditions",0002-9513,10.1152/ajplegacy.1934.108.3.535,,,,,
1934,Olive Cushing Smith,Action Potentials From Single Motor Units in Voluntary Contraction,0002-9513,10.1152/ajplegacy.1934.108.3.629,,,,,
1934,James P. Quigley; H. J. Zettelman; A. C. Ivy,Analysis of the Factors Involved in Gastric Motor Inhibition by Fats,0002-9513,10.1152/ajplegacy.1934.108.3.643,,,,,
1934,John H. Ferguson,Observations on the Alterations of Blood Platelets as a Factor in Coagulation of the Blood,0002-9513,10.1152/ajplegacy.1934.108.3.670,,,,,
1934,James P. Quigley; K. R. Phelps,The Mechanism of Gastric Motor Inhibition From Ingested Carbohydrates,0002-9513,10.1152/ajplegacy.1934.109.1.133,,,,,
1934,H. E. Hoff; Ebbe Curtis Hoff; Paul C. Bucy; J. Pi-Suñer,The Production of the Silent Period by the Synchronization of Discharge of Motor Neurones,0002-9513,10.1152/ajplegacy.1934.109.1.123,,,,,
1934,Janet H. Clark; D. R. Hooker; Lewis H. Weed,The Hydrostatic Factor in Venous Pressure Measurements,0002-9513,10.1152/ajplegacy.1934.109.1.166,,,,,
1934,Donald B. Lindsley,Inhibition as an Accompaniment of the Knee Jerk,0002-9513,10.1152/ajplegacy.1934.109.1.181,,,,,
1934,Samuel Soskin; M. D. Allweiss; David J. Cohn,Influence of the Pancreas and the Liver Upon the Dextrose Tolerance Curve,0002-9513,10.1152/ajplegacy.1934.109.1.155,,,,,
1934,Clyde Marshall,"The Cortico-Fugal Pathways Mediating the ""Berührungsreflexe"" of Munk and the Contact Placing Reactions of Rademaker",0002-9513,10.1152/ajplegacy.1934.109.1.178,,,,,
1934,,Proceedings of the American Physiological Society,0002-9513,10.1152/ajplegacy.1934.109.1.1,,,,,
1934,James L. Gamble; Charles F. McKhann; Allan M. Butler; Elizabeth Tuthill,An Economy of Water in Renal Function Referable to Urea,0002-9513,10.1152/ajplegacy.1934.109.1.139,,,,,
1934,D. B. Dill; H. T. Edwards; W. H. Forbes,"Tobacco Smoking in Relation to Blood Sugar, Blood Lactic Acid and Metabolism",0002-9513,10.1152/ajplegacy.1934.109.1.118,,,,,
1934,Walter J. Meek; R. C. Herein,The Effect of Vagotomy on Gastric Emptying Time,0002-9513,10.1152/ajplegacy.1934.109.2.221,,,,,
1934,Hampden Lawson,The Rôle of the Inferior Mesenteric Ganglia in the Diphasic Response of the Colon to Sympathetic Stimuli,0002-9513,10.1152/ajplegacy.1934.109.2.257,,,,,
1934,C. E. Leese; Lárus Einarson,Conduction Time in the Afferent Tracts of the Spinal Cord in Relation to the Flexion Reflex,0002-9513,10.1152/ajplegacy.1934.109.2.296,,,,,
1934,Walter E. Garrey; J. T. Boykin,Reduction of Oxygen Consumption During Cardiac Inhibition,0002-9513,10.1152/ajplegacy.1934.109.2.286,,,,,
1934,Jules H. Masserman,The Relationship of the Bromide Content of the Lumbar Fluid to That of the Cisternal Fluid After the Walter Bromide Test,0002-9513,10.1152/ajplegacy.1934.109.2.193,,,,,
1934,Howard H. Beard; Erlene J. Andes,The Effect of Iron With and Without Other Elements Upon the Production of Polycythemia,0002-9513,10.1152/ajplegacy.1934.109.2.316,,,,,
1934,C. P. Rhoads,A Method for Explantation of the Kidney,0002-9513,10.1152/ajplegacy.1934.109.2.324,,,,,
1934,A. Rosenblueth; Robert S. Morison,A Quantitative Study of the Production of Sympathin,0002-9513,10.1152/ajplegacy.1934.109.2.209,,,,,
1934,William M. McCord,The Effect of 2-4-Dinitrophenol on the Oxygen Uptake of Kidney and Liver Tissue of the Rat,0002-9513,10.1152/ajplegacy.1934.109.2.232,,,,,
1934,Donald W. Cowan,The Creatine Content and the Weight of the Ventricles in Experimental Hyperthyroidism and After Thyroparathyroidectomy,0002-9513,10.1152/ajplegacy.1934.109.2.312,,,,,
1934,Joseph T. Wearn; A. Carlton Ernstene; A. W. Bromer; James Barr; William J. German; Louise J. Zschiesche,The Normal Behavior of the Pulmonary Blood Vessels With Observations on the Intermittence of the Flow of Blood in the Arterioles and Capillaries,0002-9513,10.1152/ajplegacy.1934.109.2.236,,,,,
1934,James L. O'Leary; Peter Heinbecker; George H. Bishop,The Fiber Constitution of the Depressor Nerve of the Rabbit,0002-9513,10.1152/ajplegacy.1934.109.2.274,,,,,
1934,Edward W. Dempsey; Hugh I. Myers; William C. Young; David B. Jennison,Absence of Light and the Reproductive Cycle in the Guinea Pig,0002-9513,10.1152/ajplegacy.1934.109.2.307,,,,,
1934,Donald D. Van Slyke; C. P. Rhoads; Alma Hiller; Alf S. Alving,"Relationships Between Urea Excretion, Renal Blood Flow, Renal Oxygen Consumption, and Diuresis. The Mechanism of Urea Excretion",0002-9513,10.1152/ajplegacy.1934.109.2.336,,,,,
1934,G. S. Eadie; F. D. McCrea,A Comparison of the Actual and Theoretical Forms of the Post-Incisural Portion of the Aortic Pulse Wave,0002-9513,10.1152/ajplegacy.1934.109.2.197,,,,,
1934,J. M. D. Olmsted; Lisa Read,"Glucose and Non-Glucose Portions of ""Blood Sugar"" in the Hepatic and Portal Veins of the Decapitate Cat at Different Sugar Levels",0002-9513,10.1152/ajplegacy.1934.109.2.303,,,,,
1934,C. P. Rhoads; Alf S. Alving; Alma Hiller; Donald D. Van Slyke,The Functional Effect of Explanting One Kidney and Removing the Other,0002-9513,10.1152/ajplegacy.1934.109.2.329,,,,,
1934,G. C. Knowlton; H. M. Hines,The Respiratory Metabolism of Atrophic Muscle,0002-9513,10.1152/ajplegacy.1934.109.2.200,,,,,
1934,McKeen Cattell; Harold G. Wolff; Dean Clark,The Liberation of Adrenergic and Cholinergic Substances in the Submaxillary Gland,0002-9513,10.1152/ajplegacy.1934.109.2.375,,,,,
1934,G. H. Hart; H. H. Cole,The Source of Oestrin in the Pregnant Mare,0002-9513,10.1152/ajplegacy.1934.109.2.320,,,,,
1934,Samuel R. Tipton,The Calcium Content of Frog Nerve,0002-9513,10.1152/ajplegacy.1934.109.3.457,,,,,
1934,J. O. Pinkston; Philip Bard; David McK. Rioch,The Responses to Changes in Environmental Temperature After Removal of Portions of the Forebrain,0002-9513,10.1152/ajplegacy.1934.109.3.515,,,,,
1934,Alexander Marble; Madeleine E. Field; Cecil K. Drinker; Rachel M. Smith,The Permeability of the Blood Capillaries to Lipoids,0002-9513,10.1152/ajplegacy.1934.109.3.467,,,,,
1934,Annette Berndt; I. S. Ravdin,The Effect of Histamine on Jejunal Secretion,0002-9513,10.1152/ajplegacy.1934.109.3.587,,,,,
1934,M. Elizabeth Marsh,Tissue Metabolism of Warm-Blooded Animals at Normal and at Febrile Temperatures,0002-9513,10.1152/ajplegacy.1934.109.3.502,,,,,
1934,Robert F. Pitts,The Clearance of Creatine in the Phlorizinized Dog,0002-9513,10.1152/ajplegacy.1934.109.3.542,,,,,
1934,Esther L. Batchelder,Nutritional Significance of Vitamin a Throughout the Life Cycle,0002-9513,10.1152/ajplegacy.1934.109.3.430,,,,,
1934,Harold E. Himwich; Walter Goldfarb; L. H. Nahum,Changes of the Carbohydrate Metabolism of the Heart Following Coronary Occlusion,0002-9513,10.1152/ajplegacy.1934.109.3.403,,,,,
1934,Cecil K. Drinker; Madeleine E. Field; Heim J; Octa C. Leigh,The Composition of Edema Fluid and Lymph in Edema and Elephantiasis Resulting From Lymphatic Obstruction,0002-9513,10.1152/ajplegacy.1934.109.3.572,,,,,
1934,Benjamin Harrow; I. M. Chamelin; Abraham Mazur,"""The Fat Metabolism Hormone"" and Hyperglycemia",0002-9513,10.1152/ajplegacy.1934.109.3.436,,,,,
1934,Alice M. Waterhouse; Elaine P. Ralli; O. Reinhardt,The Effect of Insulin in Conjunction With Posture on the Blood Concentration in Depancreatized Dogs,0002-9513,10.1152/ajplegacy.1934.109.3.422,,,,,
1934,Iping Chao,The Influence of Neutral Sodium-Salt Solutions on Chemical Stimulation,0002-9513,10.1152/ajplegacy.1934.109.3.550,,,,,
1934,George H. Bishop; Peter Heinbecker; James L. O'Leary,"The Significance of Frequency, Number of Impulses and Fiber Size in Vasomotor Responses to Vagus and Depressor Nerve Stimulation in the Rabbit",0002-9513,10.1152/ajplegacy.1934.109.3.409,,,,,
1934,L. B. Nice; David A. Fishman,The Viscosity of the Blood of Pigeons in the Quiet State and Following Excitement,0002-9513,10.1152/ajplegacy.1934.109.3.569,,,,,
1934,P. E. Reid; A. C. Ivy; James P. Quigley,Spiral Propulsion of a Bolus in the Intestine,0002-9513,10.1152/ajplegacy.1934.109.3.483,,,,,
1934,Jacob John Westra,Studies on the Action of the Alkali Iodides,0002-9513,10.1152/ajplegacy.1934.109.3.450,,,,,
1934,Fredy Jackson; Akindele Folarin Alonge,What Constitutes a Lethal Reduction of Temperature?,0002-9513,10.1152/ajplegacy.1934.109.3.447,,,,,
1934,Iping Chao,The Cold Stimulation and the Influence of Neutral Sodium-Salt Solutions on the Cold Stimulation,0002-9513,10.1152/ajplegacy.1934.109.3.561,,,,,
